Time,User,Event Type,Project
2026-02-02 00:39:00,diana@acme.com,FINDING_STATUS_CHANGED,guava
2026-02-01 05:47:00,charlie@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-31 22:34:00,bob@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-31 22:01:00,bob@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-31 19:43:00,charlie@acme.com,REPORT_GENERATED,nifi
2026-01-31 18:38:00,charlie@acme.com,USER_LOGOUT,
2026-01-31 18:26:00,frank@acme.com,USER_LOGOUT,
2026-01-31 18:01:00,diana@acme.com,USER_LOGOUT,
2026-01-31 10:08:00,charlie@acme.com,USER_LOGIN,
2026-01-31 08:52:00,frank@acme.com,USER_LOGIN,
2026-01-31 08:26:00,diana@acme.com,USER_LOGIN,
2026-01-31 03:19:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-31 02:17:49,frank@acme.com,SCAN_COMPLETED,Mailtest
2026-01-31 02:17:49,frank@acme.com,SCAN_STARTED,Mailtest
2026-01-31 00:18:46,diana@acme.com,SCAN_COMPLETED,nifi
2026-01-31 00:18:46,diana@acme.com,SCAN_STARTED,nifi
2026-01-30 20:49:00,bob@acme.com,USER_LOGOUT,
2026-01-30 20:38:00,alice@acme.com,USER_LOGOUT,
2026-01-30 20:07:00,eve@acme.com,USER_LOGOUT,
2026-01-30 19:10:00,diana@acme.com,USER_LOGOUT,
2026-01-30 18:55:00,frank@acme.com,USER_LOGOUT,
2026-01-30 13:05:14,diana@acme.com,SCAN_COMPLETED,nifi
2026-01-30 13:05:14,diana@acme.com,SCAN_STARTED,nifi
2026-01-30 12:02:00,bob@acme.com,FINDING_STATUS_CHANGED,guava
2026-01-30 11:22:00,frank@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-30 10:52:00,eve@acme.com,USER_LOGIN,
2026-01-30 09:09:00,diana@acme.com,USER_LOGIN,
2026-01-30 08:45:00,frank@acme.com,USER_LOGIN,
2026-01-30 07:29:49,charlie@acme.com,SCAN_ERROR,spring-framework
2026-01-30 07:29:35,charlie@acme.com,SCAN_STARTED,spring-framework
2026-01-30 07:25:00,alice@acme.com,USER_LOGIN,
2026-01-30 07:00:00,bob@acme.com,USER_LOGIN,
2026-01-30 04:43:18,alice@acme.com,SCAN_COMPLETED,spring-framework
2026-01-30 04:31:59,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-30 01:25:06,eve@acme.com,SCAN_COMPLETED,Mailtest
2026-01-30 01:13:17,eve@acme.com,SCAN_STARTED,Mailtest
2026-01-30 00:48:02,frank@acme.com,SCAN_COMPLETED,spring-framework
2026-01-30 00:40:38,frank@acme.com,SCAN_STARTED,spring-framework
2026-01-29 22:31:18,alice@acme.com,SCAN_STARTED,guava
2026-01-29 22:31:18,alice@acme.com,SCAN_COMPLETED,guava
2026-01-29 20:53:00,eve@acme.com,USER_LOGOUT,
2026-01-29 20:23:00,diana@acme.com,USER_LOGOUT,
2026-01-29 19:51:00,bob@acme.com,USER_LOGOUT,
2026-01-29 18:58:00,charlie@acme.com,USER_LOGOUT,
2026-01-29 18:16:00,frank@acme.com,USER_LOGOUT,
2026-01-29 17:09:00,eve@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-29 16:05:00,bob@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-29 15:18:27,diana@acme.com,SCAN_COMPLETED,guava
2026-01-29 15:05:30,diana@acme.com,SCAN_STARTED,guava
2026-01-29 14:34:21,eve@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-29 14:26:03,eve@acme.com,SCAN_STARTED,elasticsearch
2026-01-29 10:55:00,frank@acme.com,USER_LOGIN,
2026-01-29 10:19:03,alice@acme.com,SCAN_ERROR,Mailtest
2026-01-29 10:16:20,alice@acme.com,SCAN_STARTED,Mailtest
2026-01-29 09:12:00,diana@acme.com,USER_LOGIN,
2026-01-29 08:43:00,bob@acme.com,USER_LOGIN,
2026-01-29 08:25:00,eve@acme.com,USER_LOGIN,
2026-01-29 08:01:00,charlie@acme.com,USER_LOGIN,
2026-01-29 05:35:55,alice@acme.com,SCAN_COMPLETED,smob
2026-01-29 05:30:33,alice@acme.com,SCAN_STARTED,smob
2026-01-28 22:15:00,diana@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-28 20:34:00,bob@acme.com,REPORT_GENERATED,elasticsearch
2026-01-28 20:14:24,alice@acme.com,SCAN_COMPLETED,spring-framework
2026-01-28 20:09:58,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-28 19:50:44,alice@acme.com,SCAN_ERROR,elasticsearch
2026-01-28 19:47:52,alice@acme.com,SCAN_STARTED,elasticsearch
2026-01-28 19:42:00,charlie@acme.com,REPORT_GENERATED,guava
2026-01-28 19:29:00,charlie@acme.com,USER_LOGOUT,
2026-01-28 19:20:00,eve@acme.com,USER_LOGOUT,
2026-01-28 18:40:00,diana@acme.com,USER_LOGOUT,
2026-01-28 18:37:13,bob@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-28 18:37:01,bob@acme.com,SCAN_STARTED,elasticsearch
2026-01-28 18:33:00,bob@acme.com,USER_LOGOUT,
2026-01-28 18:00:00,alice@acme.com,USER_LOGOUT,
2026-01-28 15:47:00,diana@acme.com,REPORT_GENERATED,Mailtest
2026-01-28 13:47:20,diana@acme.com,SCAN_STARTED,elasticsearch
2026-01-28 13:47:20,diana@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-28 12:17:32,frank@acme.com,SCAN_STARTED,spring-framework
2026-01-28 12:17:32,frank@acme.com,SCAN_COMPLETED,spring-framework
2026-01-28 10:50:00,alice@acme.com,USER_LOGIN,
2026-01-28 10:12:00,eve@acme.com,USER_LOGIN,
2026-01-28 07:48:00,diana@acme.com,USER_LOGIN,
2026-01-28 07:22:00,charlie@acme.com,USER_LOGIN,
2026-01-28 07:07:00,bob@acme.com,USER_LOGIN,
2026-01-28 02:42:00,eve@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-27 20:59:00,frank@acme.com,USER_LOGOUT,
2026-01-27 20:50:00,eve@acme.com,USER_LOGOUT,
2026-01-27 19:56:18,diana@acme.com,SCAN_COMPLETED,nifi
2026-01-27 19:47:06,diana@acme.com,SCAN_STARTED,nifi
2026-01-27 18:58:00,diana@acme.com,USER_LOGOUT,
2026-01-27 18:19:00,bob@acme.com,USER_LOGOUT,
2026-01-27 17:52:00,alice@acme.com,USER_LOGOUT,
2026-01-27 16:31:00,alice@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-27 15:29:41,charlie@acme.com,SCAN_COMPLETED,spring-framework
2026-01-27 15:18:02,charlie@acme.com,SCAN_STARTED,spring-framework
2026-01-27 14:19:55,diana@acme.com,SCAN_ERROR,Mybinary
2026-01-27 14:19:55,diana@acme.com,SCAN_STARTED,Mybinary
2026-01-27 12:31:00,charlie@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-27 11:45:00,frank@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-27 10:40:00,eve@acme.com,USER_LOGIN,
2026-01-27 10:30:00,frank@acme.com,USER_LOGIN,
2026-01-27 09:19:00,bob@acme.com,USER_LOGIN,
2026-01-27 08:59:35,alice@acme.com,SCAN_COMPLETED,spring-framework
2026-01-27 08:55:00,diana@acme.com,USER_LOGIN,
2026-01-27 08:50:50,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-27 08:22:00,charlie@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-27 07:17:00,alice@acme.com,USER_LOGIN,
2026-01-27 07:11:35,eve@acme.com,SCAN_COMPLETED,Mybinary
2026-01-27 07:11:35,eve@acme.com,SCAN_STARTED,Mybinary
2026-01-26 23:35:00,charlie@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-26 22:44:00,charlie@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-26 20:55:00,bob@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-26 20:41:00,alice@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-26 20:19:00,bob@acme.com,USER_LOGOUT,
2026-01-26 19:01:00,charlie@acme.com,USER_LOGOUT,
2026-01-26 18:23:00,alice@acme.com,USER_LOGOUT,
2026-01-26 17:44:00,diana@acme.com,USER_LOGOUT,
